核准登記營業日期,縣市旅宿登記證號,類別,標章,溫泉標章,旅宿名稱,縣市,鄉鎮,郵遞區號,地址,電話或手機,傳真,房間數,電子郵件,網址,lat,lng
1998-07-28,交觀宿字第1604號,國際觀光旅館,五星級,否,台中金典酒店,臺中市,西區,403,臺中市西區健行路1049號,04-23288000,04-23229000,222,hotelmail@splendor-taichung.com.tw,http://www.splendor-taichung.com.tw,24.1559989,120.6631766
1996-10-24,交觀宿字第1580號,國際觀光旅館,五星級,否,高雄福華大飯店,高雄市,新興區,800,高雄市新興區七賢一路311號,07-2362323,07-2358383,271,jerry-ks@howard-hotels.com.tw,https://www.howard-hotels.com.tw/zh_TW/HotelBusiness/136,22.6337448,120.3081431
1995-05-01,交觀宿字第1468號,國際觀光旅館,五星級,否,漢來大飯店,高雄市,前金區,801,高雄市前金區成功一路266號1樓、2樓、10-13樓、15-19樓、22-42樓,07-2161766,07-2161966,540,service@grand-hilai.com,http://www.grand-hilai.com,22.6196188,120.2967061
1993-12-29,交觀宿字第1534號,國際觀光旅館,五星級,否,台北遠東香格里拉,臺北市,大安區,106,臺北市大安區敦化南路2段201號,02-23788888,02-23777777,420,tpe@shangri-la.com,https://www.shangri-la.com/tc/taipei/fareasternplazashangrila/,25.0265685,121.5492658
1992-10-20,交觀宿字第1583號,國際觀光旅館,五星級,否,長榮桂冠酒店(台中),臺中市,西屯區,407,臺中市西屯區臺灣大道二段666號,04-23139988,04-23138642,354,tcgsls@evergreen-hotels.com,http://www.evergreen-hotels.com/branch/taichung,24.1589742,120.657288
2004-02-25,臺北市旅館318號,旅館,五星級,是,大地酒店,臺北市,北投區,112,臺北市北投區奇岩路1號,02-55518888,02-55515588,48,service@thegaiahotel.com,http://thegaiahotel.com/,25.1348126,121.5072019
1990-09-21,交觀宿字第1091號,國際觀光旅館,五星級,否,晶華酒店,臺北市,中山區,104,臺北市中山區中山北路2段39巷3號,02-25238000,02-25232828,550,customerservice@regenttaiwan.com,http://www.regenttaiwan.com,25.0541575,121.5242879
1990-03-07,交觀宿字第1377號,國際觀光旅館,五星級,否,台北君悅酒店,臺北市,信義區,110,臺北市信義區松壽路2號,02-27201234,02-27201111,866,taipei.grand@hyatt.com,http://taipei.grand.hyatt.com,25.0351708,121.5628669
1984-04-19,交觀宿字第1582號,國際觀光旅館,五星級,否,福華大飯店,臺北市,大安區,106,臺北市大安區仁愛路3段160號,02-27002323,02-2700,606,howard@howard-hotels.com.tw,http://www.howard-hotels.com.tw,25.0374704,121.5433012
1984-01-09,交觀宿字第1170號,國際觀光旅館,五星級,否,老爺大酒店,臺北市,中山區,104,臺北市中山區中山北路2段37之1號,02-25423266,02-25434897,202,service@royal-taipei.com.tw,http://www.royal-taipei.com.tw,25.0525015,121.5223343
1981-03-06,交觀宿字第1470號,國際觀光旅館,五星級,否,台北寒舍喜來登大飯店,臺北市,中正區,100,臺北市中正區忠孝東路1段12號,02-23215511,02-23944240,688,sheraton@sheratongrandtaipei.com,http://www.sheratongrandtaipei.com,25.0425297,121.533259
1979-11-26,交觀宿字第1564號,國際觀光旅館,五星級,否,亞都麗緻大飯店,臺北市,中山區,104,臺北市中山區民權東路2段41號,02-25971234,02-25969223,219,lsc@landisgroup.com.tw,http://taipei.landishotelsresorts.com/chinese-trad/,25.0623355,121.5279769
1965-12-27,交觀宿字第1165號,一般觀光旅館,五星級,否,天成大飯店,臺北市,中正區,100,臺北市中正區忠孝西路1段43號,02-23617856,02-23118902,226,cosmos@cosmos-hotel.com.tw,http://www.cosmos-hotel.com.tw,25.0421407,121.5198716
1952-05-10,交觀宿字第1594號,國際觀光旅館,五星級,否,圓山大飯店,臺北市,中山區,104,臺北市中山區中山北路4段1巷1號,02-28868888,02-28852885,408,grand@grand-hotel.org,http://www.grand-hotel.org,25.0785832,121.5278139
2017-06-15,交觀宿字第1588號,國際觀光旅館,四星級,是,礁溪麒麟酒店,宜蘭縣,礁溪鄉,262,宜蘭縣礁溪鄉礁溪路5段116號,03-9888570,03-9888670,167,fin@kilinjiaoxi.com.tw,http://www.kilinjiaoxi.com.tw/,24.8273015,121.7722595
2020-05-25,交觀宿字第1512號,國際觀光旅館,四星級,否,和逸飯店桃園青埔館,桃園市,中壢區,320,桃園市中壢區桃園市中壢區春德路101號,03-2737699,03-2737690,218,getcozzi.blu@hotelcozzi.com,https://hotelcozzi.com/,24.9721514,121.2053963
2019-06-14,新北市旅館318號,旅館,四星級,否,將捷金鬱金香酒店,新北市,淡水區,251,新北市淡水區中正路一段2號,02-26210333,02-26211728,175,rsv@goldentulip-fabhotel.com.tw,https://www.goldentulip-fabhotel.com.tw/,25.1766032,121.4297257
2018-02-02,澎湖縣旅館059號,旅館,五星級,否,澎澄飯店,澎湖縣,馬公市,880,澎湖縣馬公市光復里1鄰同和路168號,06-9235678,06-9235680,236,Rebecca_Hung@everrich.com.tw,http://www.discoveryhotel.com.tw,23.5668463,119.5722115
2018-01-10,交觀宿字第交觀宿1504號,國際觀光旅館,四星級,否,桃園喜來登酒店,桃園市,大園區,337,桃園市大園區大觀路777號,03-3851188,-,189,services@hotelorchardpark.com,https://www.sheraton-taoyuan.com/,25.0614998,121.1759605
2016-12-21,交觀宿字第1456號,一般觀光旅館,四星級,否,悅川酒店,宜蘭縣,宜蘭市,260,宜蘭縣宜蘭市中山路5段123號,03-9699555,03-9283566,103,service@waldenhotels.com,http://www.waldenhotels.com/,24.7698454,121.7564582
2015-07-23,交觀宿字第1405號,一般觀光旅館,四星級,是,福容大飯店 福隆,新北市,貢寮區,228,新北市貢寮區福隆里福隆街41號,02-24991188,02-24992288,174,,http://www.fullon-hotels.com.tw/fl/,25.0184044,121.9439413
2015-05-27,苗栗縣旅館082號,旅館,四星級,否,尚順君樂飯店,苗栗縣,頭份市,351,苗栗縣頭份市育樂街6號,037-539555,037-686000,218,service@groyalhotel.com.tw,http://www.groyalhotel.com/,24.6882052,120.9046566
2015-05-26,高雄市旅館469號,旅館,四星級,否,皇家金宸大飯店,高雄市,鳳山區,830,高雄市鳳山區國泰路一段288號,07-7405999,07-7408111,161,chien56@hotmail.com,http://www.royalgoldhotel.com,22.615692,120.3544242
2014-10-24,臺南市旅館279號,旅館,四星級,否,富信大飯店,臺南市,北區,704,臺南市北區成功路336號,06-2229801,06-2229802,174,fstn.hr@fushin-hotel.com.tw,http://www.fushin-hotel.com.tw,23.0000386,120.2009101
2014-04-28,嘉義市旅館082號,旅館,四星級,否,阿里山之峰皇品酒店,嘉義市,西區,600,嘉義市西區自由路468號,05-2341777,05-2349777,190,john.hsiao@royalchiayihotel.com,http://www.royalchiayihotel.com/,23.4925732,120.4325864
2014-01-10,臺北市旅館452號,旅館,四星級,否,台北慕軒飯店，臻品之選,臺北市,大安區,106,臺北市大安區敦化南路一段331號1-13樓,02-77266699,02-77269070,124,guestservice@madisontaipei.com,http://www.madisontaipei.com,25.0339868,121.5494185
2013-07-10,臺北市旅館433號,旅館,四星級,否,和逸．台北民生館,臺北市,中山區,104,臺北市中山區民生東路二段178號1至12樓,02-77063399,02-77063390,134,getcozzi.ms@hotelcozzi.com,,25.057654,121.5362374
2013-01-17,交觀宿字第1607號,一般觀光旅館,四星級,否,台中港酒店,臺中市,梧棲區,435,臺中市梧棲區大智路二段388號,04-26568888,04-26568899,200,info@tchhotel.com,http://www.tchhotel.com,24.260259,120.533737
1990-02-09,高雄市旅館124號,旅館,四星級,否,翰品酒店 高雄,高雄市,鹽埕區,803,高雄市鹽埕區大仁路43號1-11樓,07-5217388,07-5217068,152,sarah.hsu@ldchotels.com,http://kaohsiung.chateaudechine.com/zh-tw,22.6247834,120.2856593
2011-09-29,新竹市旅館067號,旅館,四星級,否,新竹福華大飯店,新竹市,北區,300,新竹市北區中正路178號,03-5282323,03-5252300,165,rv-hc@howard-hotels.com.tw,https://www.howard-hotels.com.tw/zh_TW/HotelBusiness/101,24.8098389,120.9663836
2011-09-23,花蓮縣旅館123號,旅館,四星級,否,煙波大飯店花蓮館,花蓮縣,花蓮市,970,花蓮縣花蓮市民立里1鄰中美路142號,03-8222666,03-8228837,213,amyhl@lakeshore.com.tw,https://www.lakeshore.com.tw/hualien,23.9868493,121.6220671
2010-12-22,南投縣旅館094號,旅館,四星級,否,台一楓樺卉館(休閒農場),南投縣,埔里鎮,545,南投縣埔里鎮中山路1段176號,049-2997848,049-2902491,73,taii.mis@msa.hinet.net,http://www.taii.com.tw,23.7543633,120.688006
2010-11-19,花蓮縣旅館118號,旅館,四星級,否,福容大飯店  花蓮,花蓮縣,花蓮市,970,花蓮縣花蓮市民運里8鄰民生路51號,03-8239988,03-8230077,257,hl@fullon-hotels.com.tw,http://www.fullon-hotels.com.tw/hl/,23.9955351,121.6331949
2010-11-05,交觀宿字第1340號,一般觀光旅館,四星級,否,福容大飯店 高雄,高雄市,鹽埕區,803,高雄市鹽埕區五福四路45號,07-5511188,07-5211166,250,rsvn_kh@fullon-hotels.com.tw,http://www.fullon-hotels.com.tw/kh/,22.621363,120.287711
2010-06-01,澎湖縣旅館047號,旅館,四星級,否,雅霖大飯店,澎湖縣,馬公市,880,澎湖縣馬公市陽明里同和路100號,06-9261366,06-9263515,150,service@yaling-hotel.tw,http://www.yaling-hotel.tw/yaling-hotel.htm,23.568465,119.5737199
2010-02-04,新北市旅館244號,旅館,四星級,否,福容大飯店 台北二館,新北市,深坑區,222,新北市深坑區萬福里北深路3段236號,02-26620088,02-26621669,317,gm_sk@fullon-hotels.com.tw,https://www.fullon-hotels.com.tw/sk/tw/,25.0042127,121.6003293
2009-05-22,屏東縣旅館107號,旅館,四星級,否,福容大飯店 墾丁,屏東縣,恆春鎮,946,屏東縣恆春鎮船帆路1000號,08-8856688,08-8856966,186,rsvn_kd@fullon-hotels.com.tw,https://www.fullon-hotels.com.tw/kd/,21.9371424,120.8167594
2007-02-16,交觀宿字第1261號,一般觀光旅館,四星級,否,福容大飯店   桃園,桃園市,桃園區,330,桃園市桃園區大興西路1段200號,03-3265800,03-3265900,182,rsvn_ty@fullon-hotels.com.tw,http://www.fullon-hotels.com.tw/ty/,25.0120189,121.300113
2001-06-28,交觀宿字第1477號,一般觀光旅館,四星級,否,瓏山林台北中和飯店,新北市,中和區,235,新北市中和區中正路631號1至12樓（包含地下１至３層）,02-22229999,02-22215939,126,email@rslhotel.tw,https://www.rslhotel.com,24.994834,121.485301
2005-01-04,嘉義市旅館017號,旅館,四星級,否,兆品酒店,嘉義市,西區,600,嘉義市西區文化路257號B2-9樓,05-2293998,05-2291155,185,cy.fi@ldchotels.com,http://chiayi.maisondechinehotel.com/tw/index.php,23.483416,120.4486897
2024-09-04,桃園市旅館010號,旅館,四星級,否,住都大飯店,桃園市,桃園區,330,"桃園市桃園區桃鶯路398號5-12樓,398-1號1-9樓,398-2號1-9樓,388-5號1-11樓",03-3766177,03-3612545,446,services@chuto.com.tw,http://www.chuto.com.tw/,24.9753651,121.3229324
2005-01-28,新北市旅館016號,旅館,四星級,是,陽明山天籟渡假酒店,新北市,金山區,208,新北市金山區名流路1之7號,02-24080400,02-2408,77,service@tienlai.com.tw,http://www.tienlai.com.tw,25.2020308,121.5953242
1979-09-12,交觀宿字第1566號,國際觀光旅館,四星級,否,兄弟大飯店,臺北市,松山區,105,臺北市松山區南京東路3段255號,02-27123456,02-27173334,250,service@brotherhotel.com.tw,http://www.brotherhotel.com.tw,25.0517504,121.5575367
